Postcode,Avg asking price,Avg asking price (studio),Avg asking price (1 bed),Avg asking price (2 bed),Avg asking price (3 bed),Avg asking price (4 bed),Avg asking price (5 bed),Avg asking £/sqft,Avg sold £/sqft,Avg blended £/sqft,Sales per month,Turnover (sale),Avg asking rent (pm),"Avg asking rent (studio, pm)","Avg asking rent (1 bed, pm)","Avg asking rent (2 bed, pm)","Avg asking rent (3 bed, pm)","Avg asking rent (4 bed, pm)","Avg asking rent (5 bed, pm)","Avg asking rent HMO (double, pm)","Avg asking rent HMO (double ensuite, pm)",Avg yield,Turnover (rental),1yr,3yr,5yr,Crime rate,UK region,Population,Degree,Deprivation,AB,Avg. household income,Avg. bedrooms,Social rent,Private rent
OL10,"175,187",,,"134,038","187,666",,,,159,159,17.0,32%,,,,,,,,,,,,11%,34%,36%,,North West,"27,624",15%,34%,12%,"34,900",3.0,26%,13%
OL11,"217,833",,,"135,347","208,213","385,648",,203,159,181,22.0,24%,663,,,,,,,,,3.7%,,12%,30%,29%,1,North West,"45,506",21%,33%,17%,"36,700",3.0,23%,14%
OL12,"177,804",,,"126,329","197,246","320,500",,189,161,175,29.0,27%,577,,,,,,,,,3.9%,,15%,25%,31%,19,North West,"46,131",20%,33%,16%,"36,700",3.0,24%,13%
OL13,"162,427",,,"105,119","175,808","310,474",,,129,129,9.0,14%,598,,,,,,,,,4.4%,,10%,25%,33%,143,North West,"15,293",19%,31%,15%,"35,000",3.0,17%,17%
OL14,"189,191",,,"127,628","192,106","282,908",,,142,142,9.0,17%,,,,,,,,,,,,4%,14%,27%,108,North West,"15,584",29%,27%,22%,"37,000",3.0,14%,17%
OL15,"204,828",,,"143,955","213,478","315,681",,206,184,195,12.0,26%,,,,,,,,,,,,8%,25%,34%,1,North West,"14,635",22%,28%,21%,"41,400",3.0,7%,15%
OL16,"190,950",,,"125,374","191,220","315,296",,187,161,174,17.0,22%,750,,,,,,,,,4.7%,,2%,6%,12%,,North West,"37,236",18%,37%,14%,"35,300",3.0,20%,15%
OX1,"480,599",,,"420,250","492,500",,,562,484,523,7.0,13%,"1,627",,"1,288","1,525",,,,,,4.1%,62%,12%,15%,20%,128,South East,"25,538",52%,16%,43%,"52,200",2.0,16%,31%
OX2,"600,457",,"297,000","427,941","620,129","850,919","1,277,692",551,538,544,21.0,16%,"1,603",,967,"1,539","1,895","2,901",,637,757,3.2%,76%,9%,14%,18%,60,South East,"39,417",59%,13%,53%,"60,400",3.0,10%,26%
OX3,"453,491",,"233,546","326,936","488,980","601,667",,439,446,443,11.0,10%,"1,776",,929,"1,273","1,569","2,017","2,803",586,748,4.7%,74%,6%,10%,15%,84,South East,"43,429",41%,20%,34%,"52,300",3.0,22%,25%
OX4,"366,781",,"234,273","299,113","396,652","615,556",,453,424,438,21.0,13%,"1,829",,994,"1,277","1,582","2,318","3,036",584,711,6.0%,71%,7%,10%,18%,124,South East,"62,004",34%,24%,28%,"47,300",3.0,25%,27%
OX5,"405,743",,,"314,309","419,483","599,474",,375,376,376,18.0,20%,"1,225",,,,,,,602,,3.6%,117%,4%,8%,10%,53,South East,"23,256",32%,17%,29%,"54,700",3.0,9%,12%
OX7,"415,650",,,"288,667","432,278","633,500",,360,344,352,13.0,21%,"1,441",,,,,,,,,4.2%,113%,1%,7%,17%,50,South East,"22,861",38%,15%,34%,"50,500",3.0,13%,13%
OX9,"432,373",,,"323,262","452,119","586,990",,,418,418,10.0,21%,"1,153",,,"1,056",,,,,,3.2%,,-4%,-8%,1%,71,South East,"14,025",35%,15%,35%,"56,800",3.0,10%,12%
OX10,"501,876",,,"316,447","456,512","698,869",,447,387,417,15.0,19%,"1,153",,,,,,,,,2.8%,140%,6%,11%,21%,49,South East,"26,458",38%,16%,35%,"55,400",3.0,14%,16%
OX11,"347,976",,"175,820","253,371","382,902","506,654",,366,344,355,22.0,16%,"1,043",,793,"1,051",,,,554,702,3.6%,132%,3%,4%,8%,74,South East,"33,218",32%,17%,30%,"60,500",2.0,13%,14%
OX12,"388,318",,"212,300","241,293","378,858","511,018","935,153",330,319,325,18.0,11%,"1,033",,,,,,,494,,3.2%,,-5%,3%,6%,54,South East,"25,199",33%,15%,33%,"57,600",3.0,15%,13%
OX13,"548,523",,,"296,250","424,389","675,300",,384,343,363,7.0,19%,"1,540",,,,,,,,,3.4%,,6%,13%,11%,43,South East,"13,497",35%,16%,36%,"58,500",3.0,12%,15%
