Postcode,Avg asking price,Avg asking price (studio),Avg asking price (1 bed),Avg asking price (2 bed),Avg asking price (3 bed),Avg asking price (4 bed),Avg asking price (5 bed),Avg asking £/sqft,Avg sold £/sqft,Avg blended £/sqft,Sales per month,Turnover (sale),Avg asking rent (pm),"Avg asking rent (studio, pm)","Avg asking rent (1 bed, pm)","Avg asking rent (2 bed, pm)","Avg asking rent (3 bed, pm)","Avg asking rent (4 bed, pm)","Avg asking rent (5 bed, pm)","Avg asking rent HMO (double, pm)","Avg asking rent HMO (double ensuite, pm)",Avg yield,Turnover (rental),1yr,3yr,5yr,Crime rate,UK region,Population,Degree,Deprivation,AB,Avg. household income,Avg. bedrooms,Social rent,Private rent
CM20,"290,741",,"181,833","266,944","355,331",,,382,339,360,10.0,18%,"1,156",,,,,,,562,,4.8%,140%,-1%,11%,10%,289,East of England,"21,144",18%,30%,14%,"39,500",2.0,38%,13%
CM21,"459,651",,,"309,028","491,408","701,333",,,410,410,9.0,22%,"1,073",,,,,,,,,2.8%,,-6%,4%,12%,58,East of England,"10,865",30%,16%,29%,"49,300",3.0,8%,17%
CM22,"559,597",,,"366,663","460,556","654,056","922,692",391,368,380,9.0,18%,,,,,,,,,,,,-4%,2%,12%,79,East of England,"13,712",30%,16%,29%,"51,900",3.0,11%,12%
CM23,"444,463",,"232,095","325,515","464,363","623,965","929,997",449,425,437,24.0,16%,"1,080",,845,"1,122",,,,572,,2.9%,132%,1%,9%,20%,77,East of England,"40,374",34%,15%,35%,"52,600",3.0,10%,16%
CM24,"475,908",,,,,,,,380,380,3.0,16%,"1,144",,,,,,,,,2.9%,,4%,1%,29%,222,East of England,"6,752",31%,15%,31%,"53,000",3.0,12%,14%
CM77,"451,455",,,"276,000","387,045","523,741",,385,346,366,9.0,18%,,,,,,,,,,,,,1%,12%,81,East of England,"15,473",20%,22%,28%,"51,700",3.0,10%,10%
CO1,"226,193",,"144,783","216,342","286,824",,,,275,275,9.0,13%,882,,696,908,,,,507,,4.7%,140%,9%,9%,20%,316,East of England,"15,332",29%,21%,22%,"43,200",2.0,17%,36%
CO2,"255,013",,"146,706","209,351","288,958","387,609",,,278,278,21.0,29%,"1,020",,757,940,"1,227",,,528,,4.8%,140%,2%,7%,20%,160,East of England,"33,466",24%,24%,16%,"43,600",3.0,19%,24%
CO3,"345,119",,"165,000","256,078","348,087","463,910","624,167",360,313,336,22.0,33%,951,,,,,,,,,3.3%,,9%,10%,22%,111,East of England,"28,486",31%,20%,30%,"47,100",3.0,9%,15%
CO4,"294,057",,"147,684","224,487","316,316","408,065","515,000",323,301,312,33.0,35%,"1,342",,651,916,"1,253","1,544","1,945",494,,5.5%,92%,5%,6%,25%,139,East of England,"47,821",27%,21%,22%,"44,300",3.0,19%,20%
CO5,"434,568",,,"270,626","412,254","572,033","759,250",373,324,349,20.0,13%,,,,,,,,,,,,12%,16%,24%,69,East of England,"28,207",25%,20%,25%,"45,100",3.0,8%,10%
CO6,"443,771",,,"300,188","375,900","550,275","746,429",384,321,353,20.0,17%,"1,056",,,,,,,,,2.9%,,-2%,14%,16%,56,East of England,"28,519",32%,17%,32%,"48,500",3.0,10%,10%
CO7,"379,255",,,"268,038","349,164","509,996","618,886",342,301,322,25.0,15%,"1,232",,,,"1,169",,,,,3.9%,117%,6%,13%,24%,58,East of England,"32,901",25%,22%,28%,"43,700",3.0,6%,13%
CO8,"463,846",,,,,,,,309,309,5.0,42%,,,,,,,,,,,,4%,3%,7%,56,East of England,"2,282",33%,13%,34%,"46,100",3.0,10%,8%
CO9,"325,566",,,"229,304","327,138","490,304",,326,301,313,20.0,23%,833,,,,,,,,,3.1%,,-2%,7%,14%,77,East of England,"25,162",21%,22%,19%,"43,000",3.0,16%,13%
CO10,"348,378",,,"256,764","342,885","486,516","732,667",331,288,310,38.0,21%,902,,,865,,,,,,3.1%,109%,3%,13%,21%,82,East of England,"46,602",23%,21%,19%,"42,300",3.0,15%,13%
CO11,"361,404",,,"262,750","372,641","544,997",,315,306,311,8.0,15%,,,,,,,,,,,,,-1%,16%,65,East of England,"12,978",26%,20%,25%,"45,500",3.0,10%,12%
CO12,"258,020",,,"210,286","251,489","345,217",,,225,225,18.0,19%,834,,,,,,,,,3.9%,,10%,22%,39%,145,East of England,"22,251",15%,30%,11%,"38,800",3.0,13%,18%
CO13,"365,825",,,"298,146","391,712","443,263",,314,310,312,11.0,13%,,,,,,,,,,,,10%,8%,28%,75,East of England,"12,279",20%,28%,21%,"37,600",3.0,3%,12%
CO14,"255,074",,,"235,197",,,,,264,264,9.0,27%,,,,,,,,,,,,9%,10%,24%,95,East of England,"6,660",14%,39%,11%,"36,400",2.0,11%,19%
CO15,"244,202",,"103,020","208,924","276,812","390,000",,261,246,253,42.0,24%,883,,,,,,,,,4.3%,140%,5%,11%,30%,188,East of England,"43,475",11%,39%,9%,"32,200",2.0,6%,21%
CO16,"312,481",,,"240,619","321,284","412,712","508,000",307,271,289,19.0,14%,,,,,,,,,,,,2%,14%,35%,123,East of England,"23,589",13%,35%,12%,"35,300",3.0,12%,12%
CR0,"361,134",,"241,977","333,993","440,004","575,706","788,958",464,431,447,59.0,6%,"1,298",891,"1,121","1,389","1,660","2,456",,616,782,4.3%,140%,3%,8%,22%,154,Greater London,"153,803",30%,26%,21%,"50,600",2.0,24%,23%
CR2,"419,790",,"243,452","331,930","508,729","691,583","834,687",458,453,456,24.0,11%,"1,271",,"1,020","1,365",,,,651,,3.6%,109%,-1%,2%,14%,72,Greater London,"48,427",36%,19%,32%,"59,700",3.0,9%,18%
CR3,"413,735",,"216,526","313,695","520,106","834,980",,424,421,422,17.0,14%,"1,264",,,"1,278",,,,,,3.7%,,4%,18%,24%,80,Greater London,"28,748",33%,15%,30%,"58,000",3.0,10%,12%
CR4,"392,561",,"256,445","331,881","465,539","583,292",,470,462,466,19.0,13%,"1,317",,"1,070","1,403",,,,579,,4.0%,98%,11%,13%,23%,123,Greater London,"58,286",26%,30%,16%,"49,000",3.0,26%,21%
CR5,"550,716",,,"381,923","528,009","711,722","1,006,919",446,447,447,22.0,27%,"1,298",,,,,,,,,2.8%,,3%,4%,13%,78,Greater London,"28,764",31%,17%,31%,"60,400",3.0,10%,8%
CR6,"514,998",,,"350,619","573,214",,,,451,451,5.0,17%,,,,,,,,,,,,4%,16%,23%,68,Greater London,"9,881",31%,16%,31%,"55,900",3.0,9%,9%
CR7,"384,843",,"231,530","295,383","447,691","517,083",,457,403,430,11.0,8%,"1,338",,933,,"1,630",,,597,,4.2%,140%,10%,13%,23%,151,Greater London,"44,620",28%,29%,16%,"49,100",3.0,17%,25%
CR8,"476,151",,"307,885","391,006","521,113","794,706","1,070,000",518,445,481,13.0,7%,"1,311",,,"1,392",,,,645,,3.3%,140%,3%,12%,22%,84,Greater London,"32,305",39%,14%,37%,"61,500",3.0,9%,14%
CT1,"299,443",,"150,240","267,949","338,863","490,998",,349,321,335,18.0,13%,"1,335",,701,"1,086","1,306","1,623","2,046",461,,5.4%,39%,3%,5%,13%,243,South East,"29,688",32%,22%,27%,"43,100",2.0,24%,31%
CT2,"350,916",,,"264,806","369,764","474,998","519,546",367,331,349,19.0,19%,"1,529",,487,"1,134","1,284","1,591","2,045",450,,5.2%,34%,,10%,12%,99,South East,"31,022",29%,22%,24%,"41,900",3.0,17%,25%
CT3,"453,969",,,"317,341","372,604","592,555","870,455",,290,290,10.0,11%,,,,,,,,,,,,14%,20%,35%,80,South East,"17,465",26%,24%,26%,"45,400",3.0,16%,13%
CT4,"479,209",,,"279,333","438,887","594,762",,,337,337,9.0,15%,,,,,,,,,,,,6%,9%,31%,83,South East,"16,591",35%,19%,34%,"54,000",3.0,7%,13%
CT5,"432,579",,"209,149","350,053","465,678","609,027","788,000",440,384,412,27.0,17%,"1,085",,,,,,,,,3.0%,,6%,16%,25%,90,South East,"32,988",27%,23%,25%,"43,900",3.0,8%,13%
CT6,"368,232",,"174,239","290,100","390,998","527,105","609,399",353,325,339,23.0,15%,825,,,,,,,,,2.7%,,3%,10%,26%,95,South East,"38,586",20%,27%,18%,"38,800",3.0,8%,16%
CT7,"377,031",,,"270,667","396,154",,,388,319,353,11.0,20%,,,,,,,,,,,,17%,15%,34%,69,South East,"11,534",20%,30%,20%,"37,000",3.0,6%,14%
CT8,"311,995",,,"294,059",,,,,268,268,6.0,17%,890,,,,,,,,,3.4%,,12%,16%,24%,103,South East,"7,368",20%,29%,15%,"34,400",2.0,10%,28%
CT9,"279,065",,"139,735","210,685","333,540","471,161","530,357",294,251,272,31.0,16%,852,,639,854,,,,519,,3.7%,140%,11%,24%,43%,239,South East,"43,148",16%,35%,12%,"35,200",2.0,15%,30%
CT10,"405,952",,"191,153","330,585","431,748","593,296","734,499",432,332,382,21.0,15%,"1,157",,,,,,,,,3.4%,,-1%,10%,35%,94,South East,"24,885",26%,24%,24%,"39,700",3.0,7%,16%
CT11,"294,191",,"138,554","247,271","322,555","436,318",,321,252,287,22.0,17%,828,,722,868,,,,,,3.4%,140%,15%,25%,40%,188,South East,"29,228",19%,31%,15%,"37,400",3.0,11%,32%
CT12,"327,332",,,"267,228","341,070","494,000",,,277,277,10.0,18%,,,,,,,,,,,,4%,19%,42%,151,South East,"17,769",16%,34%,11%,"37,800",3.0,26%,12%
CT13,"418,293",,,,"385,559",,,,305,305,6.0,24%,,,,,,,,,,,,5%,12%,12%,80,South East,"8,671",29%,22%,28%,"44,100",3.0,14%,14%
CT14,"363,574",,,"307,756","355,978","524,796",,348,301,325,30.0,17%,"1,083",,,,,,,,,3.6%,,4%,15%,35%,89,South East,"35,231",24%,25%,18%,"40,400",3.0,11%,16%
CT15,"419,647",,,"280,947","368,554","568,248",,,300,300,11.0,17%,,,,,,,,,,,,-2%,23%,28%,64,South East,"13,205",19%,26%,24%,"45,100",3.0,9%,13%
CT16,"278,771",,"129,500","199,201","294,301","419,750",,,249,249,18.0,18%,719,,,,,,,,,3.1%,,3%,21%,32%,197,South East,"19,778",17%,29%,12%,"39,200",2.0,19%,19%
CT17,"228,689",,,"194,149","250,104",,,,212,212,15.0,18%,,,,,,,,,,,,10%,21%,41%,169,South East,"21,761",16%,31%,11%,"39,000",3.0,18%,24%
CT18,"369,353",,,"267,350","359,895","477,184",,,306,306,10.0,29%,,,,,,,,,,,,4%,7%,29%,86,South East,"14,357",20%,27%,23%,"49,000",3.0,10%,12%
CT19,"276,724",,,"209,200","292,172","450,937",,,240,240,18.0,52%,874,,,,,,,,,3.8%,,8%,19%,33%,131,South East,"28,440",18%,31%,14%,"41,400",3.0,15%,22%
CT20,"262,865",,"146,815","242,613","349,786","356,250",,,255,255,22.0,25%,825,,,940,,,,532,,3.8%,89%,13%,23%,46%,215,South East,"22,295",22%,30%,17%,"38,000",2.0,10%,42%
CT21,"441,981",,,"324,688","453,643","697,500",,,324,324,17.0,26%,,,,,,,,,,,,10%,15%,15%,77,South East,"17,203",28%,22%,26%,"42,500",3.0,10%,15%
CV1,"169,815",,"130,529","154,936","201,000",,,,205,205,7.0,7%,"1,009",589,568,873,"1,172","1,601","2,446",421,498,7.1%,49%,3%,1%,11%,226,West Midlands,"30,850",22%,35%,10%,"30,900",2.0,30%,42%
CV2,"202,131",,,"154,543","216,563","285,000",,216,206,211,25.0,37%,961,,528,801,960,"1,556","2,315",409,452,5.7%,41%,4%,9%,32%,124,West Midlands,"63,192",19%,32%,12%,"37,700",3.0,21%,21%
CV3,"256,562",,"111,000","163,908","258,871","378,000",,260,239,249,33.0,23%,"1,056",,566,786,"1,034","1,467",,422,505,4.9%,45%,6%,10%,28%,89,West Midlands,"63,643",26%,25%,22%,"40,600",3.0,16%,13%
CV4,"259,034",,,"169,624","237,616","455,068","518,329",274,247,260,17.0,15%,"1,407",,516,948,"1,162","1,668","2,357",400,548,6.5%,61%,13%,19%,37%,102,West Midlands,"32,767",30%,23%,19%,"40,100",3.0,27%,14%
CV5,"243,032",,,"173,638","252,545","396,735",,264,246,255,36.0,31%,"1,003",,510,783,"1,010","1,466","2,128",419,510,5.0%,80%,8%,14%,30%,68,West Midlands,"46,725",28%,23%,28%,"44,600",3.0,4%,19%
CV6,"203,367",,,"158,027","214,479","290,000",,234,208,221,44.0,36%,762,,,762,872,,,396,,4.5%,138%,8%,12%,25%,110,West Midlands,"86,314",18%,33%,12%,"36,700",3.0,15%,22%
CV7,"347,439",,,"192,441","288,036","481,932","670,455",313,263,288,15.0,15%,917,,,,,,,,,3.2%,,10%,26%,57%,98,West Midlands,"27,633",21%,29%,29%,"46,300",3.0,9%,11%
CV8,"370,793",,"201,613","260,719","377,529","526,738",,343,350,347,22.0,21%,981,,,868,,,,,,3.2%,98%,6%,14%,29%,59,West Midlands,"30,754",34%,20%,42%,"50,700",3.0,8%,12%
CV9,"285,609",,,"176,910","244,317","443,100",,259,216,237,16.0,29%,692,,,,,,,,,2.9%,,9%,12%,30%,103,West Midlands,"21,268",18%,28%,18%,"39,500",3.0,18%,12%
CV10,"212,058",,,"161,707","212,389","332,855",,250,205,228,39.0,39%,770,,,704,,,,,,4.4%,140%,9%,11%,28%,132,West Midlands,"49,885",16%,29%,13%,"38,900",3.0,16%,12%
CV11,"286,899",,,"157,131","270,694","359,901",,249,232,241,20.0,15%,664,,,,,,,425,,2.8%,113%,8%,17%,29%,122,West Midlands,"39,525",23%,25%,23%,"40,900",3.0,11%,14%
CV12,"219,323",,,"167,463","228,077","349,700",,,208,208,15.0,27%,,,,,,,,,,,,3%,13%,30%,106,West Midlands,"31,503",16%,30%,14%,"37,700",3.0,16%,10%
CV13,"378,395",,,"234,532","309,550","485,544",,,262,262,6.0,13%,858,,,,,,,,,2.7%,,2%,2%,21%,52,West Midlands,"10,552",28%,20%,31%,"46,500",3.0,9%,11%
CV21,"216,551",,"109,429","166,758","237,759","349,520",,227,230,228,21.0,28%,703,,594,748,,,,452,575,3.9%,132%,3%,7%,26%,145,West Midlands,"34,811",23%,23%,17%,"42,200",3.0,20%,19%
CV22,"288,167",,,"185,952","277,070","392,339",,275,261,268,22.0,41%,819,,,,,,,,,3.4%,138%,8%,8%,31%,73,West Midlands,"35,785",28%,20%,28%,"44,600",3.0,14%,12%
CV23,"337,828",,,"216,040","302,059","445,416",,302,268,285,17.0,20%,980,,,,,,,,,3.5%,,6%,6%,14%,97,West Midlands,"21,957",28%,19%,35%,"49,700",3.0,10%,12%
CV31,"281,266",,,"240,174","305,714","422,689",,304,317,310,18.0,20%,"1,387",,700,960,"1,179","1,540","1,882",467,,5.9%,57%,3%,1%,7%,115,West Midlands,"31,530",29%,22%,25%,"43,200",3.0,16%,24%
CV32,"322,298",,"197,496","283,400","355,930","535,000",,360,344,352,20.0,18%,"1,114",,754,"1,043","1,306",,,534,,4.1%,95%,1%,5%,15%,101,West Midlands,"32,641",41%,18%,39%,"46,700",3.0,16%,20%
CV33,"374,916",,,,"357,318",,,,333,333,6.0,22%,,,,,,,,,,,,5%,-3%,18%,73,West Midlands,"6,251",31%,20%,35%,"50,200",3.0,12%,9%
CV34,"324,789",,"166,680","240,947","331,676","495,648",,349,320,335,21.0,16%,996,,,889,"1,158",,,505,,3.7%,140%,-2%,3%,10%,109,West Midlands,"31,248",37%,18%,34%,"47,700",3.0,16%,15%
CV35,"404,532",,,"275,264","372,325","489,984",,380,319,349,18.0,13%,"1,097",,,,,,,,,3.3%,,5%,15%,14%,65,West Midlands,"24,514",37%,17%,40%,"50,400",3.0,12%,11%
CV36,"453,068",,,"262,883","385,231","568,571",,338,307,323,8.0,17%,,,,,,,,,,,,11%,18%,25%,56,West Midlands,"9,415",34%,16%,29%,"45,300",3.0,15%,11%
CV37,"368,932",,"173,207","234,770","372,398","537,407","858,155",345,321,333,28.0,13%,"1,025",,,868,"1,338",,,499,,3.3%,138%,2%,7%,18%,109,West Midlands,"40,432",36%,17%,33%,"46,700",3.0,12%,16%
CV47,"317,698",,,"228,038","307,279","454,186",,,299,299,16.0,21%,907,,,,,,,,,3.4%,,2%,-4%,10%,72,West Midlands,"16,834",31%,17%,31%,"46,200",3.0,12%,13%
CW1,"165,671",,,"114,086","176,103","302,588",,,182,182,23.0,28%,623,,,587,749,,,388,,4.5%,140%,8%,11%,22%,143,North West,"42,314",18%,27%,14%,"38,500",3.0,18%,15%
CW2,"220,700",,,"141,394","193,248","313,847","501,384",,195,195,26.0,24%,625,,447,609,,,,375,461,3.4%,140%,3%,11%,23%,113,North West,"40,752",23%,23%,21%,"42,900",3.0,10%,14%
CW3,"316,212",,,,"300,000",,,,221,221,7.0,27%,,,,,,,,,,,,8%,18%,30%,48,North West,"9,159",33%,18%,30%,"43,300",3.0,10%,11%
CW4,"467,731",,,,"332,437","689,734",,,268,268,7.0,18%,,,,,,,,,,,,8%,12%,18%,63,North West,"9,303",39%,14%,45%,"49,300",3.0,6%,7%
CW5,"287,731",,,"174,054","273,790","394,725","614,792",282,235,258,24.0,17%,865,,,734,,,,,,3.6%,138%,1%,10%,25%,86,North West,"29,323",30%,20%,33%,"44,200",3.0,10%,14%
CW6,"488,029",,,"254,318","391,469","544,689","854,663",345,283,314,10.0,14%,,,,,,,,,,,,7%,15%,30%,50,North West,"12,270",39%,15%,41%,"47,400",3.0,7%,10%
CW7,"185,572",,,"132,950","176,848","307,222",,204,178,191,20.0,19%,686,,,,,,,,,4.4%,,5%,6%,11%,135,North West,"31,399",17%,30%,14%,"38,800",3.0,22%,10%
CW8,"260,780",,,"160,981","254,723","420,554",,265,218,241,23.0,17%,672,,,687,,,,,,3.1%,,9%,13%,14%,77,North West,"35,261",31%,20%,29%,"44,700",3.0,10%,11%
CW9,"253,301",,,"139,728","252,833","386,612",,249,215,232,25.0,25%,684,,,,,,,,,3.2%,,11%,16%,26%,99,North West,"33,149",27%,22%,26%,"43,500",3.0,14%,11%
CW10,"220,927",,,"143,942","209,029","336,844",,,197,197,11.0,29%,,,,,,,,,,,,9%,11%,22%,92,North West,"14,790",22%,23%,25%,"44,400",3.0,11%,11%
CW11,"283,055",,,"183,196","245,772","386,855","536,996",245,227,236,16.0,14%,793,,,,,,,,,3.4%,140%,,,13%,88,North West,"22,313",31%,19%,31%,"45,300",3.0,8%,11%
CW12,"271,789",,,"168,524","260,037","369,236","519,414",278,230,254,21.0,19%,763,,,,,,,,,3.4%,117%,-2%,2%,25%,96,North West,"29,314",29%,21%,28%,"42,400",3.0,12%,10%
DA1,"326,678",,"207,581","280,965","395,769","503,750",,412,370,391,29.0,36%,"1,187",,862,"1,225","1,548",,,601,,4.4%,140%,9%,10%,17%,159,Greater London,"53,062",21%,25%,17%,"49,400",2.0,19%,15%
DA2,"385,909",,,"308,654","405,130","543,333",,402,375,389,12.0,27%,"1,305",,,,,,,,,4.1%,,6%,13%,16%,132,Greater London,"22,412",21%,23%,19%,"48,800",3.0,14%,10%
DA3,"471,422",,,"336,750","445,469","597,857",,403,377,390,10.0,18%,,,,,,,,,,,,8%,17%,27%,66,Greater London,"16,791",26%,15%,28%,"53,100",3.0,7%,8%
DA4,"409,036",,,"297,333","445,625",,,,386,386,5.0,22%,,,,,,,,,,,,-7%,,17%,93,Greater London,"9,286",27%,18%,25%,"52,300",3.0,13%,9%
DA5,"529,080",,,"379,762","511,562","655,000",,474,446,460,10.0,18%,"1,356",,,,,,,,,3.1%,,7%,14%,20%,68,Greater London,"20,525",25%,17%,28%,"57,500",3.0,4%,8%
DA6,"453,685",,,"356,938","480,833","637,083",,467,424,446,7.0,21%,,,,,,,,,,,,3%,14%,19%,170,Greater London,"10,053",24%,22%,24%,"53,400",3.0,8%,12%
DA7,"480,423",,,"336,618","483,070","582,000","607,308",432,432,432,20.0,38%,"1,646",,,,,,,,,4.1%,,4%,11%,19%,65,Greater London,"34,811",21%,21%,22%,"53,200",3.0,6%,8%
DA8,"348,969",,,"270,875","398,077","477,083",,396,360,378,12.0,22%,"1,287",,,"1,265",,,,,,4.4%,140%,-6%,3%,19%,150,Greater London,"32,927",20%,30%,13%,"46,600",2.0,28%,14%
DA9,"279,936",,"191,111","259,324","395,588",,,368,360,364,15.0,44%,"1,259",,,,,,,,,5.4%,,-7%,2%,,185,Greater London,"13,021",25%,20%,23%,"52,300",2.0,11%,26%
DA10,"352,370",,,"293,500","425,294","533,749",,386,369,377,6.0,15%,"1,163",,,,,,,,,4.0%,,-8%,-8%,-2%,208,Greater London,"6,656",19%,26%,11%,"49,400",2.0,29%,20%
DA11,"301,982",,"162,000","240,152","348,367","479,364",,344,332,338,16.0,18%,"1,020",,761,"1,025","1,325",,,,,4.1%,140%,-1%,10%,26%,189,Greater London,"38,607",19%,28%,15%,"43,400",3.0,19%,22%
DA12,"342,290",,"173,571","276,429","359,900","476,739",,354,329,342,16.0,22%,988,,708,,,,,,,3.5%,140%,8%,12%,26%,153,Greater London,"46,978",19%,27%,15%,"44,200",3.0,21%,15%
DA13,"523,840",,,,"473,750","665,282",,,390,390,8.0,38%,,,,,,,,,,,,3%,19%,9%,70,Greater London,"14,191",21%,23%,29%,"53,000",3.0,4%,7%
DA14,"371,932",,"256,275","331,641","483,134",,,446,428,437,13.0,19%,"1,222",,,"1,280",,,,,,3.9%,,4%,17%,19%,100,Greater London,"21,876",25%,24%,23%,"48,300",3.0,19%,13%
DA15,"477,857",,"235,250","376,567","479,778","650,769",,484,459,472,22.0,40%,"1,410",,,,,,,,,3.5%,,1%,10%,20%,67,Greater London,"29,123",22%,20%,22%,"54,800",3.0,3%,9%
DA16,"433,210",,,"354,231","446,750","543,235",,438,425,432,16.0,44%,"1,382",,,,,,,,,3.8%,140%,7%,13%,18%,75,Greater London,"35,896",19%,23%,19%,"52,600",3.0,8%,9%
DA17,"334,858",,"196,500","281,398","382,757",,,428,373,401,9.0,28%,"1,185",,,,,,,,,4.2%,,6%,20%,21%,130,Greater London,"17,129",20%,28%,15%,"46,000",2.0,16%,19%
DE1,"147,677",,"92,990","137,232","217,583",,,,177,177,9.0,15%,724,595,523,712,952,"1,596",,404,481,5.9%,39%,5%,18%,19%,598,East Midlands,"14,438",28%,28%,20%,"33,300",2.0,34%,35%
DE3,"277,728",,,"194,049","255,898","381,066",,,244,244,14.0,20%,852,,,,,,,,,3.7%,,-4%,4%,20%,63,East Midlands,"17,094",35%,14%,33%,"51,200",3.0,4%,9%
DE4,"303,636",,,"226,303","319,304","467,500",,291,248,269,21.0,20%,844,,,,,,,,,3.3%,140%,1%,4%,26%,85,East Midlands,"33,465",32%,22%,28%,"45,100",3.0,13%,11%
DE5,"215,733",,,"158,174","217,203","304,454",,234,185,209,14.0,20%,618,,,,,,,,,3.4%,,10%,16%,28%,122,East Midlands,"22,075",18%,27%,16%,"37,100",3.0,14%,11%
DE6,"383,170",,,"215,220","316,110","534,665","706,599",316,253,284,13.0,13%,810,,,,,,,,,2.5%,,9%,15%,21%,67,East Midlands,"25,599",32%,18%,28%,"46,300",3.0,12%,14%
DE7,"200,823",,,"150,569","204,466","333,026",,222,181,201,33.0,31%,646,,,652,,,,,,3.9%,101%,10%,15%,32%,129,East Midlands,"49,998",17%,28%,14%,"36,700",3.0,16%,13%
DE11,"211,905",,,"145,261","213,229","299,626",,228,194,211,37.0,26%,663,,,623,,,,,,3.8%,140%,2%,12%,22%,109,East Midlands,"43,734",17%,26%,14%,"39,200",3.0,14%,13%
DE12,"294,871",,,"193,093","238,997","374,994",,250,217,233,15.0,22%,749,,,,,,,,,3.0%,,4%,4%,24%,79,East Midlands,"20,690",21%,24%,22%,"42,700",3.0,15%,10%
DE13,"302,298",,,"211,888","260,271","433,171",,286,234,260,28.0,23%,815,,,743,978,,,,,3.2%,80%,1%,7%,20%,49,East Midlands,"40,309",24%,24%,25%,"44,600",3.0,10%,10%
DE14,"183,520",,,"133,603","198,584","311,087",,233,177,205,21.0,22%,602,,460,639,,,,,,3.9%,92%,,8%,11%,142,East Midlands,"28,975",17%,30%,13%,"37,500",2.0,13%,29%
DE15,"234,374",,,"151,620","216,898","324,859",,229,192,211,20.0,29%,,,,,,,,,,,,,18%,28%,70,East Midlands,"24,095",19%,27%,18%,"40,900",3.0,20%,11%
DE21,"209,183",,,"167,236","207,168","351,249",,,207,207,34.0,33%,702,,,,,,,,,4.0%,,1%,14%,30%,115,East Midlands,"57,023",21%,25%,16%,"39,700",3.0,19%,10%
DE22,"215,385",,"81,000","141,289","233,073","366,510",,195,216,205,37.0,30%,797,,467,665,906,"1,621",,395,455,4.4%,41%,5%,10%,23%,145,East Midlands,"46,003",30%,25%,23%,"42,600",3.0,17%,23%
DE23,"223,927",,,"141,306","214,637","333,275","446,364",,198,198,28.0,29%,715,,465,675,913,,,,472,3.8%,89%,8%,9%,24%,151,East Midlands,"59,979",24%,31%,16%,"36,600",3.0,19%,22%
DE24,"171,595",,,"138,597","173,057","294,147",,,185,185,28.0,39%,655,,,644,,,,,440,4.6%,132%,3%,13%,19%,166,East Midlands,"54,396",17%,32%,11%,"34,900",3.0,28%,15%
DE45,"332,000",,,"289,091",,,,,320,320,5.0,28%,,,,,,,,,,,,3%,17%,20%,71,East Midlands,"8,764",35%,20%,32%,"45,400",3.0,13%,14%
DE55,"204,706",,,"142,961","203,727","332,189","514,086",241,179,210,41.0,23%,594,,,577,,,,,,3.5%,140%,4%,10%,22%,109,East Midlands,"51,182",17%,30%,14%,"35,500",3.0,19%,11%
DE56,"277,889",,"146,809","205,542","274,812","449,051",,263,240,251,31.0,21%,735,,,712,,,,,,3.2%,140%,6%,16%,35%,64,East Midlands,"39,812",32%,19%,28%,"47,800",3.0,7%,12%
DE65,"279,188",,,"175,471","249,158","367,120",,262,234,248,21.0,20%,747,,,,,,,,,3.2%,,-2%,1%,12%,58,East Midlands,"23,074",36%,14%,33%,"54,400",3.0,6%,12%
DE72,"321,236",,,"237,455","294,217","449,164",,350,245,297,11.0,14%,843,,,,,,,,,3.1%,,1%,7%,30%,69,East Midlands,"20,453",22%,24%,29%,"47,400",3.0,10%,10%
DE73,"294,499",,,"212,266","279,109","369,154",,301,240,271,14.0,19%,,,,,,,,,,,,8%,10%,17%,81,East Midlands,"19,040",31%,20%,34%,"47,900",3.0,11%,14%
DE74,"307,871",,,"202,895","265,544","373,561",,,232,232,6.0,10%,"1,290",,,,,,,,,5.0%,,8%,18%,29%,74,East Midlands,"11,262",30%,20%,27%,"47,000",3.0,10%,16%
DE75,"188,277",,,"141,596","189,973","279,286",,,169,169,11.0,29%,688,,,,,,,,,4.4%,,18%,27%,42%,117,East Midlands,"18,589",17%,26%,15%,"37,700",3.0,12%,12%
DH1,"224,655",,,"157,388","196,883","359,481","541,559",,197,197,25.0,18%,807,,719,717,828,,,486,,4.3%,85%,3%,16%,13%,107,North East,"49,938",36%,18%,32%,"42,100",3.0,14%,19%
DH2,"149,433",,,"99,036","152,851","252,240",,,148,148,17.0,24%,503,,,,,,,,,4.0%,,-4%,-5%,5%,109,North East,"30,579",20%,27%,17%,"36,600",3.0,22%,8%
DH3,"154,779",,,"104,846","169,446","327,399",,208,171,189,15.0,18%,516,,,503,,,,,,4.0%,,-16%,-4%,10%,135,North East,"25,798",23%,26%,19%,"36,400",3.0,19%,11%
DH4,"151,123",,,"95,856","143,383","260,060",,,152,152,16.0,16%,526,,,,,,,,,4.2%,117%,10%,-4%,6%,130,North East,"33,332",19%,30%,16%,"36,100",3.0,22%,9%
DH5,"131,283",,,"84,234","134,672","248,576",,,137,137,13.0,16%,,,,,,,,,,,,-8%,-8%,-7%,178,North East,"19,549",16%,35%,12%,"31,800",3.0,29%,10%
DH6,"119,466",,,"88,297","119,352","265,673",,,121,121,21.0,18%,515,,,,,,,,,5.2%,87%,3%,8%,1%,144,North East,"33,466",23%,31%,15%,"34,400",3.0,24%,10%
